10-04-2013 08:22:33:890,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:35:150,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:35:540,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:39:660,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:39:770,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:40:330,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:40:480,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:44:000,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:44:060,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:44:580,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:44:780,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:45:450,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:45:510,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:46:190,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:46:280,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:46:720,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:47:080,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:47:510,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:47:750,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:48:120,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:50:790,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:51:040,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:51:570,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:51:690,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:52:900,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:53:050,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:54:290,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:54:730,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:54:960,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:55:380,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:55:820,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:56:820,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:22:57:250,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:22:57:460,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:23:00:210,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:23:00:270,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:23:00:850,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:23:01:090,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:23:02:300,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:23:02:480,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:23:15:530,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE LON 15.0 W set by Dealer
10-04-2013 08:23:15:540,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE SEARCH_PATTERN SPIRAL set by Dealer
10-04-2013 08:23:19:680,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE FREQ 1036.930 set by Dealer
10-04-2013 08:23:23:160,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE TX_POL H set by Dealer
10-04-2013 08:23:23:180,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE BAND 1 set by Dealer
10-04-2013 08:23:23:200,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE DESCRIPTION 15 W ION set by Dealer
10-04-2013 08:23:23:280,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:23:23:480,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:24:02:890,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE LON 13.0 E set by Dealer
10-04-2013 08:24:02:900,INFORMATION,NULL,webs_req_task1,MXP,SET SATELLITE SEARCH_PATTERN SKY_SEARCH set by Dealer
10-04-2013 08:24:02:920,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE FREQ 1265.000 set by Dealer
10-04-2013 08:24:02:940,INFORMATION,NULL,webs_req_task1,MXP,SET SYSTEM RETARGET  set by Dealer
10-04-2013 08:24:06:930,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE TX_POL V set by Dealer
10-04-2013 08:24:06:940,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:24:10:230,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE BAND 2 set by Dealer
10-04-2013 08:24:10:250,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE DESCRIPTION HOTBIRD 13E set by Dealer
10-04-2013 08:24:10:390,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:24:16:310,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:25:44:330,INFORMATION,NULL,webs_req_task0,MXP,SET ANTENNA TRACKING OFF set by Dealer
10-04-2013 08:26:27:470,INFORMATION,NULL,webs_req_task0,MXP,SET ANTENNA AZ_TARGET 159.6 set by Dealer
10-04-2013 08:26:27:880,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:26:28:130,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:26:28:320,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:26:28:640,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:26:29:040,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:26:29:500,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:27:02:020,INFORMATION,NULL,webs_req_task1,MXP,SET ANTENNA EL_TARGET 24.6 set by Dealer
10-04-2013 08:29:18:640,INFORMATION,NULL,webs_req_task1,MXP,SET SYSTEM PRIMARY_REFLECTOR TRIM EL 0.3 set by Dealer
10-04-2013 08:29:18:660,INFORMATION,NULL,webs_req_task1,MXP,SET SYSTEM PRIMARY_REFLECTOR TRIM AZ 16.4 set by Dealer
10-04-2013 08:34:46:590,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE LON 30.0 W set by Dealer
10-04-2013 08:34:50:080,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE FREQ 1380.000 set by Dealer
10-04-2013 08:34:50:100,INFORMATION,NULL,webs_req_task0,MXP,SET SATELLITE DESCRIPTION HISPASAT set by Dealer
10-04-2013 08:34:50:720,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
10-04-2013 08:34:56:500,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: OFF
10-04-2013 08:38:55:700,INFORMATION,NULL,webs_req_task0,MXP,SET SYSTEM RETARGET  set by Dealer
10-04-2013 08:39:03:200,INFORMATION,1031,RemoteSystemStat_task,MXP,AGC Below Threshold: ON
