10-04-2013 09:02:21:890, INFORMATION, webs_req_task1, SET ANTENNA TRACKING ON set by Dealer, MXP,,,
10-04-2013 08:47:21:330, INFORMATION, webs_req_task1, SET ANTENNA TRACKING OFF set by Dealer, MXP,,,
10-04-2013 08:47:15:710, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:47:11:610, INFORMATION, webs_req_task1, SET SATELLITE TX_POL H set by Dealer, MXP,,,
10-04-2013 08:46:56:080, INFORMATION, webs_req_task1, SET SYSTEM PRIMARY_REFLECTOR TRIM AZ 0 set by Dealer, MXP,,,
10-04-2013 08:46:56:070, INFORMATION, webs_req_task1, SET SYSTEM PRIMARY_REFLECTOR TRIM EL 0 set by Dealer, MXP,,,
10-04-2013 08:39:48:240, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:39:43:970, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:39:43:860, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:39:43:500, INFORMATION, webs_req_task1, SET SATELLITE DESCRIPTION HISPASAT set by Dealer, MXP,,,
10-04-2013 08:39:40:190, INFORMATION, webs_req_task1, SET SATELLITE BAND 2 set by Dealer, MXP,,,
10-04-2013 08:39:36:250, INFORMATION, webs_req_task0, SET SYSTEM RETARGET  set by Dealer, MXP,,,
10-04-2013 08:39:36:230, INFORMATION, webs_req_task1, SET SATELLITE FREQ 1380.000 set by Dealer, MXP,,,
10-04-2013 08:39:36:220, INFORMATION, RemoteSystemStat_ta, Satellite Out of Range: OFF, MXP,,,
10-04-2013 08:39:36:210, INFORMATION, webs_req_task0, SET SATELLITE SEARCH_PATTERN SKY_SEARCH set by Dealer, MXP,,,
10-04-2013 08:39:36:200, INFORMATION, webs_req_task1, SET SATELLITE LON 30.0 W set by Dealer, MXP,,,
10-04-2013 08:39:27:770, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:39:27:480, INFORMATION, webs_req_task1, SET SATELLITE DESCRIPTION GE23 NEA set by Dealer, MXP,,,
10-04-2013 08:39:27:460, INFORMATION, webs_req_task1, SET SATELLITE BAND 3 set by Dealer, MXP,,,
10-04-2013 08:39:24:000, INFORMATION, webs_req_task1, SET SATELLITE FREQ 1118.000 set by Dealer, MXP,,,
10-04-2013 08:39:24:000, INFORMATION, RemoteSystemStat_ta, Satellite Out of Range: ON, MXP,,,
10-04-2013 08:39:19:900, INFORMATION, webs_req_task0, SET SATELLITE SEARCH_PATTERN SPIRAL set by Dealer, MXP,,,
10-04-2013 08:39:19:880, INFORMATION, webs_req_task1, SET SATELLITE LON 172.0 E set by Dealer, MXP,,,
10-04-2013 08:39:12:900, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:39:12:570, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:39:12:270, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:39:03:200, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:38:55:700, INFORMATION, webs_req_task0, SET SYSTEM RETARGET  set by Dealer, MXP,,,
10-04-2013 08:34:56:500, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:34:50:720, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:34:50:100, INFORMATION, webs_req_task0, SET SATELLITE DESCRIPTION HISPASAT set by Dealer, MXP,,,
10-04-2013 08:34:50:080, INFORMATION, webs_req_task0, SET SATELLITE FREQ 1380.000 set by Dealer, MXP,,,
10-04-2013 08:34:46:590, INFORMATION, webs_req_task0, SET SATELLITE LON 30.0 W set by Dealer, MXP,,,
10-04-2013 08:29:18:660, INFORMATION, webs_req_task1, SET SYSTEM PRIMARY_REFLECTOR TRIM AZ 16.4 set by Dealer, MXP,,,
10-04-2013 08:29:18:640, INFORMATION, webs_req_task1, SET SYSTEM PRIMARY_REFLECTOR TRIM EL 0.3 set by Dealer, MXP,,,
10-04-2013 08:27:02:020, INFORMATION, webs_req_task1, SET ANTENNA EL_TARGET 24.6 set by Dealer, MXP,,,
10-04-2013 08:26:29:500, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:26:29:040, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:26:28:640, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:26:28:320, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:26:28:130, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:26:27:880, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
